iter	Logloss
0	0.6577830009
1	0.6317350761
2	0.6120683748
3	0.5884988144
4	0.573596454
5	0.5561284598
6	0.5501997563
7	0.5360328529
8	0.5281004742
9	0.5205864927
10	0.5100696357
11	0.5099671878
12	0.5004726394
13	0.4940297753
14	0.4854606083
15	0.477379501
16	0.4714856835
17	0.4686649688
18	0.4634082795
19	0.458208168
20	0.4512061792
21	0.4485750865
22	0.441640007
23	0.4348205428
24	0.4319012112
25	0.4284700136
26	0.424504453
27	0.4206455769
28	0.4161705357
29	0.4104769423
30	0.4068690952
31	0.4015627824
32	0.3974195342
33	0.3910108238
34	0.3866973694
35	0.3817329896
36	0.3778196355
37	0.3751087774
38	0.3716099955
39	0.3689605831
40	0.3675329229
41	0.3672189791
42	0.3655222998
43	0.3599629554
44	0.355494257
45	0.3526996135
46	0.3511666259
47	0.3476359516
48	0.344801145
49	0.3433909375
50	0.3387646794
51	0.3368263847
52	0.3342366942
53	0.332651703
54	0.3296376588
55	0.3283881917
56	0.3260154069
57	0.3241269223
58	0.3213839158
59	0.3162281433
60	0.3160221799
61	0.3125669019
62	0.3100659326
63	0.3097542603
64	0.3087252152
65	0.3077129576
66	0.3046389424
67	0.303070947
68	0.2995578634
69	0.2977129473
70	0.2969144216
71	0.2966565325
72	0.2963676458
73	0.2959410151
74	0.2929003413
75	0.2917631998
76	0.2893147671
77	0.2880844247
78	0.2864028375
79	0.2837180124
80	0.283352126
81	0.2802987183
82	0.2781719969
83	0.2773844552
84	0.2751640547
85	0.2745722932
86	0.2740155385
87	0.273441708
88	0.2726262892
89	0.2722629286
90	0.2714252344
91	0.270352686
92	0.2689025302
93	0.2679518123
94	0.2673307971
95	0.2671451292
96	0.2662387355
97	0.2656938438
98	0.2642684615
99	0.2611337399
100	0.2604262926
101	0.2590645528
102	0.2583884744
103	0.258237261
104	0.2557630365
105	0.2556597163
106	0.2551543352
107	0.2527259445
108	0.2520199346
109	0.2514310057
110	0.2502311026
111	0.2486590161
112	0.2481043858
113	0.2472714529
114	0.2470588061
115	0.2458991741
116	0.2458023309
117	0.2453248539
118	0.2448946665
119	0.2422009251
120	0.2400776348
121	0.239275986
122	0.2360462738
123	0.2345786708
124	0.2334269264
125	0.2309880424
126	0.2309032648
127	0.2302635766
128	0.2301750126
129	0.2294032401
130	0.2283636554
131	0.2275964967
132	0.2270179356
133	0.226389272
134	0.2261971579
135	0.2251205516
136	0.2235766349
137	0.2228865254
138	0.2205439412
139	0.2198943395
140	0.2185361221
141	0.2184671973
142	0.2183918149
143	0.2172458615
144	0.2161643977
145	0.2156667787
146	0.2152369498
147	0.214817081
148	0.2138319665
149	0.2136125495
